words@bje1946m	@bje1946m	204.441	204.712	к
words@bje1946m	@bje1946m	204.712	204.983	сожалению
words@bje1946m	@bje1946m	204.983	205.254	/
words@bje1946m	@bje1946m	205.254	205.525	я
words@bje1946m	@bje1946m	205.525	205.796	его
words@bje1946m	@bje1946m	205.796	206.067	сорвал
words@bje1946m	@bje1946m	206.067	206.338	на
words@bje1946m	@bje1946m	206.338	206.609	репетициях
words@bje1946m	@bje1946m	206.609	206.88	/
words@bje1946m	@bje1946m	206.88	207.151	и
words@bje1946m	@bje1946m	207.151	207.422	так
words@bje1946m	@bje1946m	207.422	207.693	сказать
words@bje1946m	@bje1946m	207.693	207.964	/
words@bje1946m	@bje1946m	207.964	208.235	э
words@bje1946m	@bje1946m	208.235	208.506	/
words@bje1946m	@bje1946m	208.506	208.777	чтобы
words@bje1946m	@bje1946m	208.777	209.048	/
words@bje1946m	@bje1946m	209.048	209.319	телезрители
words@bje1946m	@bje1946m	209.319	209.59	не
words@bje1946m	@bje1946m	209.59	209.861	пугались
words@bje1946m	@bje1946m	209.861	210.132	/
words@bje1946m	@bje1946m	210.132	210.403	голосу
words@bje1946m	@bje1946m	210.403	210.674	монстра
words@bje1946m	@bje1946m	210.674	210.945	/
words@bje1946m	@bje1946m	210.945	211.22	/
words@bje1946m	@bje1946m	211.85	212.153	вот
words@bje1946m	@bje1946m	212.153	212.456	/
words@bje1946m	@bje1946m	212.456	212.759	ну
words@bje1946m	@bje1946m	212.759	213.062	уж
words@bje1946m	@bje1946m	213.062	213.365	/
words@bje1946m	@bje1946m	213.365	213.668	простите
words@bje1946m	@bje1946m	213.668	213.971	/
words@bje1946m	@bje1946m	213.971	214.274	а
words@bje1946m	@bje1946m	214.274	214.577	по
words@bje1946m	@bje1946m	214.577	214.88	поводу
words@bje1946m	@bje1946m	214.88	215.183	этих
words@bje1946m	@bje1946m	215.183	215.49	гастролей
words@bje1946m	@bje1946m	217.16	217.467	вы
words@bje1946m	@bje1946m	217.467	217.774	знаете
words@bje1946m	@bje1946m	217.774	218.081	у
words@bje1946m	@bje1946m	218.081	218.388	каждого
words@bje1946m	@bje1946m	218.388	218.695	артиста
words@bje1946m	@bje1946m	218.695	219.002	видимо
words@bje1946m	@bje1946m	219.002	219.309	возникает
words@bje1946m	@bje1946m	219.309	219.616	какой-то
words@bje1946m	@bje1946m	219.616	219.923	момент
words@bje1946m	@bje1946m	219.923	220.23	в
words@bje1946m	@bje1946m	220.23	220.537	жизни
words@bje1946m	@bje1946m	220.537	220.844	/
words@bje1946m	@bje1946m	220.844	221.151	какой-то
words@bje1946m	@bje1946m	221.151	221.458	такой
words@bje1946m	@bje1946m	221.458	221.765	важный
words@bje1946m	@bje1946m	221.765	222.072	момент
words@bje1946m	@bje1946m	222.072	222.379	в
words@bje1946m	@bje1946m	222.379	222.686	жизни
words@bje1946m	@bje1946m	222.686	222.993	/
words@bje1946m	@bje1946m	222.993	223.3	где
words@bje1946m	@bje1946m	223.3	223.607	он
words@bje1946m	@bje1946m	223.607	223.914	как
words@bje1946m	@bje1946m	223.914	224.221	бы
words@bje1946m	@bje1946m	224.221	224.528	/
words@bje1946m	@bje1946m	224.528	224.835	э
words@bje1946m	@bje1946m	224.835	225.142	/
words@bje1946m	@bje1946m	225.142	225.449	должен
words@bje1946m	@bje1946m	225.449	225.756	/
words@bje1946m	@bje1946m	225.756	226.063	действительно
words@bje1946m	@bje1946m	226.063	226.37	/
words@bje1946m	@bje1946m	226.37	226.677	действительно
words@bje1946m	@bje1946m	226.677	226.984	определиться
words@bje1946m	@bje1946m	226.984	227.291	/
words@bje1946m	@bje1946m	227.291	227.598	определиться
words@bje1946m	@bje1946m	227.598	227.905	в
words@bje1946m	@bje1946m	227.905	228.212	этом
words@bje1946m	@bje1946m	228.212	228.519	мире
words@bje1946m	@bje1946m	228.519	228.826	/
words@bje1946m	@bje1946m	228.826	229.133	определиться
words@bje1946m	@bje1946m	229.133	229.44	для
words@bje1946m	@bje1946m	229.44	229.747	себя
words@bje1946m	@bje1946m	229.747	230.054	/
words@bje1946m	@bje1946m	230.054	230.361	кто
words@bje1946m	@bje1946m	230.361	230.668	он
words@bje1946m	@bje1946m	230.668	230.975	/
words@bje1946m	@bje1946m	230.975	231.282	и
words@bje1946m	@bje1946m	231.282	231.589	/
words@bje1946m	@bje1946m	231.589	231.896	познать
words@bje1946m	@bje1946m	231.896	232.203	/
words@bje1946m	@bje1946m	232.203	232.51	как
words@bje1946m	@bje1946m	232.51	232.817	бы
words@bje1946m	@bje1946m	232.817	233.124	/
words@bje1946m	@bje1946m	233.124	233.431	истинную
words@bje1946m	@bje1946m	233.431	233.738	ценность
words@bje1946m	@bje1946m	233.738	234.045	своему
words@bje1946m	@bje1946m	234.045	234.352	искусству
words@bje1946m	@bje1946m	234.352	234.659	/
words@bje1946m	@bje1946m	234.659	235.02	/
words@bje1946m	@bje1946m	235.98	236.254	и
words@bje1946m	@bje1946m	236.254	236.528	/
words@bje1946m	@bje1946m	236.528	236.802	я
words@bje1946m	@bje1946m	236.802	237.076	думаю
words@bje1946m	@bje1946m	237.076	237.35	/
words@bje1946m	@bje1946m	237.35	237.624	что
words@bje1946m	@bje1946m	237.624	237.898	эти
words@bje1946m	@bje1946m	237.898	238.172	гастроли
words@bje1946m	@bje1946m	238.172	238.446	в
words@bje1946m	@bje1946m	238.446	238.72	Нью-Йорк
words@bje1946m	@bje1946m	238.72	238.994	/
words@bje1946m	@bje1946m	238.994	239.268	они
words@bje1946m	@bje1946m	239.268	239.542	действительно
words@bje1946m	@bje1946m	239.542	239.816	как-то
words@bje1946m	@bje1946m	239.816	240.09	поставили
words@bje1946m	@bje1946m	240.09	240.364	какую-то
words@bje1946m	@bje1946m	240.364	240.638	точку
words@bje1946m	@bje1946m	240.638	240.912	/
words@bje1946m	@bje1946m	240.912	241.186	в
words@bje1946m	@bje1946m	241.186	241.46	определении
words@bje1946m	@bje1946m	241.46	241.734	/
words@bje1946m	@bje1946m	241.734	242.008	и
words@bje1946m	@bje1946m	242.008	242.282	/
words@bje1946m	@bje1946m	242.282	242.556	э
words@bje1946m	@bje1946m	242.556	242.83	/
words@bje1946m	@bje1946m	242.83	243.104	как
words@bje1946m	@bje1946m	243.104	243.378	бы
words@bje1946m	@bje1946m	243.378	243.652	в
words@bje1946m	@bje1946m	243.652	243.926	общественном
words@bje1946m	@bje1946m	243.926	244.2	мнении
words@bje1946m	@bje1946m	244.2	244.474	о
words@bje1946m	@bje1946m	244.474	244.748	нашем
words@bje1946m	@bje1946m	244.748	245.022	театре
words@bje1946m	@bje1946m	245.022	245.296	/
words@bje1946m	@bje1946m	245.296	245.57	и
words@bje1946m	@bje1946m	245.57	245.844	вот
words@bje1946m	@bje1946m	245.844	246.118	эта
words@bje1946m	@bje1946m	246.118	246.392	стр...
words@bje1946m	@bje1946m	246.392	246.666	строка
words@bje1946m	@bje1946m	246.666	246.94	/
words@bje1946m	@bje1946m	246.94	247.214	действительно
words@bje1946m	@bje1946m	247.214	247.488	/
words@bje1946m	@bje1946m	247.488	247.762	Анны
words@bje1946m	@bje1946m	247.762	248.036	Кисельгоф
words@bje1946m	@bje1946m	248.036	248.31	говорит
words@bje1946m	@bje1946m	248.31	248.584	о
words@bje1946m	@bje1946m	248.584	248.858	том
words@bje1946m	@bje1946m	248.858	249.132	/
words@bje1946m	@bje1946m	249.132	249.406	что
words@bje1946m	@bje1946m	249.406	249.68	/
words@bje1946m	@bje1946m	249.68	249.97	/
words@bje1946m	@bje1946m	251.73	252.063	тот
words@bje1946m	@bje1946m	252.063	252.396	путь
words@bje1946m	@bje1946m	252.396	252.729	/
words@bje1946m	@bje1946m	252.729	253.062	избранный
words@bje1946m	@bje1946m	253.062	253.395	мною
words@bje1946m	@bje1946m	253.395	253.728	/
words@bje1946m	@bje1946m	253.728	254.061	много-много
words@bje1946m	@bje1946m	254.061	254.394	лет
words@bje1946m	@bje1946m	254.394	254.727	назад
words@bje1946m	@bje1946m	254.727	255.06	/
words@bje1946m	@bje1946m	255.06	255.393	он
words@bje1946m	@bje1946m	255.393	255.726	не
words@bje1946m	@bje1946m	255.726	256.059	только
words@bje1946m	@bje1946m	256.059	256.392	оправдал
words@bje1946m	@bje1946m	256.392	256.725	себя
words@bje1946m	@bje1946m	256.725	257.058	/
words@bje1946m	@bje1946m	257.058	257.391	он
words@bje1946m	@bje1946m	257.391	257.724	просто
words@bje1946m	@bje1946m	257.724	258.057	/
words@bje1946m	@bje1946m	258.057	258.39	выдвигает
words@bje1946m	@bje1946m	258.39	258.723	наш
words@bje1946m	@bje1946m	258.723	259.056	театр
